t = 1.330000, L = 0.453300, A = 0.015031
t = 1.340000, L = 0.454156, A = 0.015087
t = 1.350000, L = 0.455010, A = 0.015144
t = 1.360000, L = 0.455864, A = 0.015201
t = 1.370000, L = 0.456716, A = 0.015258
t = 1.380000, L = 0.457568, A = 0.015315
t = 1.390000, L = 0.458418, A = 0.015372
t = 1.400000, L = 0.459267, A = 0.015429
t = 1.410000, L = 0.460116, A = 0.015486
t = 1.420000, L = 0.460963, A = 0.015543
t = 1.430000, L = 0.461809, A = 0.015600
t = 1.440000, L = 0.462654, A = 0.015657
t = 1.450000, L = 0.463498, A = 0.015714
t = 1.460000, L = 0.464341, A = 0.015771
t = 1.470000, L = 0.465184, A = 0.015829
t = 1.480000, L = 0.466025, A = 0.015886
t = 1.490000, L = 0.466865, A = 0.015943
t = 1.500000, L = 0.467704, A = 0.016001
t = 1.510000, L = 0.468542, A = 0.016058
t = 1.520000, L = 0.469379, A = 0.016115
t = 1.530000, L = 0.470215, A = 0.016173
t = 1.540000, L = 0.471051, A = 0.016230
t = 1.550000, L = 0.471885, A = 0.016288
t = 1.560000, L = 0.472718, A = 0.016345
t = 1.570000, L = 0.473550, A = 0.016403
t = 1.580000, L = 0.474381, A = 0.016461
t = 1.590000, L = 0.475212, A = 0.016518
t = 1.600000, L = 0.476041, A = 0.016576
t = 1.610000, L = 0.476870, A = 0.016634
t = 1.620000, L = 0.477697, A = 0.016691
t = 1.630000, L = 0.478523, A = 0.016749
t = 1.640000, L = 0.479349, A = 0.016807
t = 1.650000, L = 0.480174, A = 0.016865
t = 1.660000, L = 0.480997, A = 0.016923
t = 1.670000, L = 0.481820, A = 0.016981
t = 1.680000, L = 0.482642, A = 0.017039
t = 1.690000, L = 0.483463, A = 0.017096
t = 1.700000, L = 0.484283, A = 0.017154
t = 1.710000, L = 0.485102, A = 0.017213
t = 1.720000, L = 0.485920, A = 0.017271
t = 1.730000, L = 0.486737, A = 0.017329
t = 1.740000, L = 0.487553, A = 0.017387
t = 1.750000, L = 0.488369, A = 0.017445
t = 1.760000, L = 0.489183, A = 0.017503
t = 1.770000, L = 0.489997, A = 0.017562
t = 1.780000, L = 0.490810, A = 0.017620
t = 1.790000, L = 0.491621, A = 0.017678
t = 1.800000, L = 0.492432, A = 0.017736
t = 1.810000, L = 0.493242, A = 0.017795
t = 1.820000, L = 0.494051, A = 0.017853
t = 1.830000, L = 0.494860, A = 0.017912
t = 1.840000, L = 0.495667, A = 0.017970
t = 1.850000, L = 0.496474, A = 0.018029
t = 1.860000, L = 0.497279, A = 0.018087
t = 1.870000, L = 0.498084, A = 0.018146
t = 1.880000, L = 0.498888, A = 0.018204
t = 1.890000, L = 0.499691, A = 0.018263
t = 1.900000, L = 0.500493, A = 0.018322
t = 1.910000, L = 0.501295, A = 0.018380
t = 1.920000, L = 0.502095, A = 0.018439
t = 1.930000, L = 0.502895, A = 0.018498
t = 1.940000, L = 0.503694, A = 0.018557
t = 1.950000, L = 0.504492, A = 0.018615
t = 1.960000, L = 0.505289, A = 0.018674
t = 1.970000, L = 0.506085, A = 0.018733
t = 1.980000, L = 0.506881, A = 0.018792
t = 1.990000, L = 0.507675, A = 0.018851
t = 2.000000, L = 0.508469, A = 0.018910
t = 2.010000, L = 0.509262, A = 0.018969
t = 2.020000, L = 0.510054, A = 0.019028
t = 2.030000, L = 0.510846, A = 0.019087
t = 2.040000, L = 0.511636, A = 0.019146
t = 2.050000, L = 0.512426, A = 0.019205
t = 2.060000, L = 0.513215, A = 0.019264
t = 2.070000, L = 0.514003, A = 0.019324
t = 2.080000, L = 0.514791, A = 0.019383
t = 2.090000, L = 0.515577, A = 0.019442
t = 2.100000, L = 0.516363, A = 0.019501
t = 2.110000, L = 0.517148, A = 0.019561
t = 2.120000, L = 0.517932, A = 0.019620
t = 2.130000, L = 0.518715, A = 0.019679
t = 2.140000, L = 0.519498, A = 0.019739
t = 2.150000, L = 0.520280, A = 0.019798
t = 2.160000, L = 0.521061, A = 0.019858
t = 2.170000, L = 0.521841, A = 0.019917
t = 2.180000, L = 0.522620, A = 0.019977
t = 2.190000, L = 0.523399, A = 0.020036
t = 2.200000, L = 0.524177, A = 0.020096
t = 2.210000, L = 0.524954, A = 0.020155
t = 2.220000, L = 0.525731, A = 0.020215
t = 2.230000, L = 0.526506, A = 0.020275
t = 2.240000, L = 0.527281, A = 0.020334
t = 2.250000, L = 0.528055, A = 0.020394
t = 2.260000, L = 0.528829, A = 0.020454
t = 2.270000, L = 0.529601, A = 0.020513
t = 2.280000, L = 0.530373, A = 0.020573
t = 2.290000, L = 0.531144, A = 0.020633
t = 2.300000, L = 0.531915, A = 0.020693
t = 2.310000, L = 0.532684, A = 0.020753
t = 2.320000, L = 0.533453, A = 0.020813
t = 2.330000, L = 0.534221, A = 0.020873
t = 2.340000, L = 0.534989, A = 0.020933
t = 2.350000, L = 0.535755, A = 0.020993
t = 2.360000, L = 0.536521, A = 0.021053
t = 2.370000, L = 0.537287, A = 0.021113
t = 2.380000, L = 0.538051, A = 0.021173
t = 2.390000, L = 0.538815, A = 0.021233
t = 2.400000, L = 0.539578, A = 0.021293
t = 2.410000, L = 0.540340, A = 0.021353
t = 2.420000, L = 0.541102, A = 0.021414
t = 2.430000, L = 0.541863, A = 0.021474
t = 2.440000, L = 0.542623, A = 0.021534
t = 2.450000, L = 0.543383, A = 0.021594
t = 2.460000, L = 0.544142, A = 0.021655
t = 2.470000, L = 0.544900, A = 0.021715
t = 2.480000, L = 0.545657, A = 0.021775
t = 2.490000, L = 0.546414, A = 0.021836
t = 2.500000, L = 0.547170, A = 0.021896
t = 2.510000, L = 0.547925, A = 0.021957
t = 2.520000, L = 0.548680, A = 0.022017
t = 2.530000, L = 0.549434, A = 0.022078
t = 2.540000, L = 0.550187, A = 0.022138
t = 2.550000, L = 0.550939, A = 0.022199
t = 2.560000, L = 0.551691, A = 0.022259
t = 2.570000, L = 0.552443, A = 0.022320
t = 2.580000, L = 0.553193, A = 0.022381
t = 2.590000, L = 0.553943, A = 0.022441
t = 2.600000, L = 0.554692, A = 0.022502
t = 2.610000, L = 0.555441, A = 0.022563
t = 2.620000, L = 0.556188, A = 0.022624
t = 2.630000, L = 0.556936, A = 0.022684
t = 2.640000, L = 0.557682, A = 0.022745
t = 2.650000, L = 0.558428, A = 0.022806
t = 2.660000, L = 0.559173, A = 0.022867
t = 2.670000, L = 0.559918, A = 0.022928
t = 2.680000, L = 0.560661, A = 0.022989
t = 2.690000, L = 0.561405, A = 0.023050
t = 2.700000, L = 0.562147, A = 0.023111
t = 2.710000, L = 0.562889, A = 0.023172
t = 2.720000, L = 0.563630, A = 0.023233
t = 2.730000, L = 0.564371, A = 0.023294
t = 2.740000, L = 0.565111, A = 0.023355
t = 2.750000, L = 0.565850, A = 0.023416
t = 2.760000, L = 0.566589, A = 0.023477
t = 2.770000, L = 0.567327, A = 0.023538
t = 2.780000, L = 0.568064, A = 0.023599
t = 2.790000, L = 0.568801, A = 0.023661
t = 2.800000, L = 0.569537, A = 0.023722
t = 2.810000, L = 0.570272, A = 0.023783
t = 2.820000, L = 0.571007, A = 0.023844
t = 2.830000, L = 0.571741, A = 0.023906
t = 2.840000, L = 0.572475, A = 0.023967
t = 2.850000, L = 0.573208, A = 0.024028
t = 2.860000, L = 0.573940, A = 0.024090
t = 2.870000, L = 0.574672, A = 0.024151
t = 2.880000, L = 0.575403, A = 0.024213
t = 2.890000, L = 0.576133, A = 0.024274
t = 2.900000, L = 0.576863, A = 0.024336
t = 2.910000, L = 0.577593, A = 0.024397
t = 2.920000, L = 0.578321, A = 0.024459
t = 2.930000, L = 0.579049, A = 0.024520
t = 2.940000, L = 0.579777, A = 0.024582
t = 2.950000, L = 0.580503, A = 0.024644
t = 2.960000, L = 0.581230, A = 0.024705
t = 2.970000, L = 0.581955, A = 0.024767
t = 2.980000, L = 0.582680, A = 0.024829
t = 2.990000, L = 0.583405, A = 0.024890
t = 3.000000, L = 0.584128, A = 0.024952
t = 3.010000, L = 0.584852, A = 0.025014
t = 3.020000, L = 0.585574, A = 0.025076
t = 3.030000, L = 0.586296, A = 0.025138
t = 3.040000, L = 0.587018, A = 0.025200
t = 3.050000, L = 0.587738, A = 0.025261
t = 3.060000, L = 0.588459, A = 0.025323
t = 3.070000, L = 0.589178, A = 0.025385
t = 3.080000, L = 0.589897, A = 0.025447
t = 3.090000, L = 0.590616, A = 0.025509
t = 3.100000, L = 0.591334, A = 0.025571
t = 3.110000, L = 0.592051, A = 0.025633
t = 3.120000, L = 0.592768, A = 0.025695
t = 3.130000, L = 0.593484, A = 0.025757
t = 3.140000, L = 0.594200, A = 0.025820
t = 3.150000, L = 0.594915, A = 0.025882
t = 3.160000, L = 0.595629, A = 0.025944
t = 3.170000, L = 0.596343, A = 0.026006
t = 3.180000, L = 0.597056, A = 0.026068
t = 3.190000, L = 0.597769, A = 0.026130
t = 3.200000, L = 0.598481, A = 0.026193
t = 3.210000, L = 0.599193, A = 0.026255
t = 3.220000, L = 0.599904, A = 0.026317
t = 3.230000, L = 0.600614, A = 0.026380
t = 3.240000, L = 0.601324, A = 0.026442
t = 3.250000, L = 0.602034, A = 0.026504
t = 3.260000, L = 0.602742, A = 0.026567
t = 3.270000, L = 0.603451, A = 0.026629
t = 3.280000, L = 0.604158, A = 0.026692
t = 3.290000, L = 0.604866, A = 0.026754
t = 3.300000, L = 0.605572, A = 0.026817
t = 3.310000, L = 0.606278, A = 0.026879
t = 3.320000, L = 0.606984, A = 0.026942
t = 3.330000, L = 0.607689, A = 0.027004
t = 3.340000, L = 0.608393, A = 0.027067
t = 3.350000, L = 0.609097, A = 0.027130
t = 3.360000, L = 0.609800, A = 0.027192
t = 3.370000, L = 0.610503, A = 0.027255
t = 3.380000, L = 0.611205, A = 0.027318
t = 3.390000, L = 0.611907, A = 0.027380
t = 3.400000, L = 0.612608, A = 0.027443
t = 3.410000, L = 0.613309, A = 0.027506
t = 3.420000, L = 0.614009, A = 0.027569
t = 3.430000, L = 0.614709, A = 0.027631
t = 3.440000, L = 0.615408, A = 0.027694
t = 3.450000, L = 0.616106, A = 0.027757
t = 3.460000, L = 0.616804, A = 0.027820
t = 3.470000, L = 0.617502, A = 0.027883
t = 3.480000, L = 0.618199, A = 0.027946
t = 3.490000, L = 0.618895, A = 0.028009
t = 3.500000, L = 0.619591, A = 0.028072
t = 3.510000, L = 0.620286, A = 0.028135
t = 3.520000, L = 0.620981, A = 0.028198
t = 3.530000, L = 0.621676, A = 0.028261
t = 3.540000, L = 0.622369, A = 0.028324
t = 3.550000, L = 0.623063, A = 0.028387
t = 3.560000, L = 0.623756, A = 0.028450
t = 3.570000, L = 0.624448, A = 0.028513
t = 3.580000, L = 0.625140, A = 0.028577
t = 3.590000, L = 0.625831, A = 0.028640
t = 3.600000, L = 0.626522, A = 0.028703
t = 3.610000, L = 0.627212, A = 0.028766
t = 3.620000, L = 0.627902, A = 0.028829
t = 3.630000, L = 0.628591, A = 0.028893
t = 3.640000, L = 0.629280, A = 0.028956
t = 3.650000, L = 0.629968, A = 0.029019
t = 3.660000, L = 0.630656, A = 0.029083
t = 3.670000, L = 0.631343, A = 0.029146
t = 3.680000, L = 0.632030, A = 0.029210
t = 3.690000, L = 0.632716, A = 0.029273
t = 3.700000, L = 0.633402, A = 0.029336
t = 3.710000, L = 0.634087, A = 0.029400
t = 3.720000, L = 0.634772, A = 0.029463
t = 3.730000, L = 0.635456, A = 0.029527
t = 3.740000, L = 0.636140, A = 0.029590
t = 3.750000, L = 0.636823, A = 0.029654
t = 3.760000, L = 0.637506, A = 0.029718
t = 3.770000, L = 0.638188, A = 0.029781
t = 3.780000, L = 0.638870, A = 0.029845
t = 3.790000, L = 0.639551, A = 0.029908
t = 3.800000, L = 0.640232, A = 0.029972
t = 3.810000, L = 0.640913, A = 0.030036
t = 3.820000, L = 0.641593, A = 0.030100
t = 3.830000, L = 0.642272, A = 0.030163
t = 3.840000, L = 0.642951, A = 0.030227
t = 3.850000, L = 0.643629, A = 0.030291
t = 3.860000, L = 0.644307, A = 0.030355
t = 3.870000, L = 0.644985, A = 0.030418
t = 3.880000, L = 0.645662, A = 0.030482
t = 3.890000, L = 0.646339, A = 0.030546
